review_text,rating,date,bank,source,app_name,app_id
ሰላም አቢሲኒያዎች የሞባይል ባንኪንጋችሁ ተጠቃሚ ነኝ አገልግሎቱን ስላስጀመራችሁለን እናመሰግናለን። ነገር ግን አለፎ አልፎ የነበረው የማስፈንጠሪያው በአግባቡ አለመስራት አልፎ አልፎ ወደመስራት ተቀይሯል ድሮ እንደነበራችሁ እናውቃለን ዘንድሮም ብትኖሩልን እንመርጣለን *ከዘመን አንጉደል*,3,2024-08-10,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking
Excellent app,5,2024-08-21,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking
👏👏👏,5,2024-01-16,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking
Only problem is often it has connectivity issues.,5,2024-04-23,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking
Best,5,2025-01-14,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking
What mean disable developer option?,5,2024-05-01,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking
Wow,5,2024-04-30,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking
best of best,5,2025-11-10,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking
I am comfortable with your good service,5,2024-05-04,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking
Is it even working these days? Please check it.,1,2024-07-04,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking
Good appp,1,2024-05-11,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking
Good 👍,5,2025-01-31,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking
ok,5,2024-08-03,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking
no proplem,5,2025-07-20,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking
Bad app .,1,2024-08-06,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking
እኔ ከሀገር ውጪ ነው ያለሁት I need help please!!! የበፊቱ app አልከፍት ብሎኝ አብዴት ማድረግ አልቻልኩም ከ ፕሌይ ስቶር ላይ እንደ አዲስ ነው ዳውንሎድ የሚጠይቀው እሱንም ሳደርግ በ ኢትዮጵያ ስልክ ቁጥር ነው ኮድ የሚልከው ፣የኢትዮጵያ ቅጥሬ አሁን active አይደለም ምን ማድረግ እችላለው? በምን መንገድ ልትረዱኝ ትችላላችሁ?,1,2024-02-13,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking
Very old app is disgusting,1,2024-04-25,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking
good,5,2025-03-21,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking
Secretary,5,2024-05-14,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking
Good,5,2024-03-28,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking
To slow,1,2024-04-23,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking
Now am confused upgrade or downgrade 🤔,1,2024-04-17,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking
It's not convenient,1,2024-06-17,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking
The app has bugs. Signing in is still a challenge. Transfer to another bank is impossible. The app is slow and bland.,3,2024-05-11,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking
"my device is not auto inserting The OTP, So keyboard should be enabled on the apps OTP login to insert OTP Manually.",3,2024-04-02,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking
FIX YOUR Apollo!! You guys where the best 👌,1,2024-07-23,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking
"the app isn't working after it asked me the password it starts loading, but it doesn't open",3,2025-04-20,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking
My attention is very important because it will be the most difficult time for me,5,2024-11-30,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking
በጣም ቀፋፊ አፕ ነው ። ሰርቶ አያውቅም ። በጣም ብዙ ችግር አለበት ከአቢሲኒያ ባንክ የማይጠበቅ አፕ ለምን ደህና ዲቨሎኘር ቀጥራችሁ አፕሊኬሽኑን ድጋሚ አታሰሩትም ?,1,2024-05-20,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking
🙏🙏🙏,5,2024-07-05,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking
best app,5,2025-03-25,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking
good,5,2025-08-05,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking
Please this app on my android phone,3,2024-11-20,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking
sometime it is not working wel,4,2024-04-27,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking
it can't even open and only display error messages,1,2024-07-27,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking
Miliyone.,5,2024-07-05,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking
it is a good app,5,2025-11-18,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking
"This app is way better than both Apollo and the old mobile banking app. It's super easy to use and loads really fast. If you already have boa mobile banking before, activating it is a piece of cake. Great job on making such an awesome app – keep it up !",5,2024-01-27,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking
best,5,2024-05-02,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking
"BOA app was one of my favourite back in the days, now I don't if there is an app worsen that this.. very very bad. You need to fix it or remove it.",1,2024-04-24,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking
Simplify your life by using the Abyssinia app I like it because it is comfortable and safe,5,2024-04-11,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking
Cool,4,2024-05-22,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking
